id,question,expected_intent,detected_intent,intent_confidence,elapsed_seconds,faithfulness,answer_relevancy,context_precision,context_recall,user_input,retrieved_contexts,response,reference
Q_LOC_02,What places can I visit in the Nuwara Eliya District?,location_query,location_query,1.0,13.71,0.813953488372093,0.9383873824609194,0.9999999999,1.0,,,,
Q_LOC_03,Which tourist attractions are located in the Galle District?,location_query,location_query,1.0,13.71,0.8846153846153846,0.9721046453994004,0.9999999999,1.0,,,,
Q_LOC_04,What are the main destinations in the Matara District?,location_query,location_query,1.0,11.87,0.7878787878787878,1.0,0.9999999999,1.0,,,,
Q_LOC_05,What are some notable places in the Anuradhapura District?,location_query,location_query,1.0,17.51,1.0,0.933194878134972,0.9999999999,1.0,,,,
Q_LOC_06,What are the main attractions in the Colombo District?,location_query,location_query,1.0,12.53,0.90625,0.999999566667698,0.9999999999,1.0,,,,
Q_LOC_07,What are the best spots to visit in the Trincomalee District?,location_query,location_query,1.0,11.91,0.84,0.9754414620136644,0.9999999999,1.0,,,,
Q_LOC_08,What is there to explore in the Badulla District?,location_query,location_query,1.0,14.73,0.7333333333333333,0.88076348221948,0.9999999999,1.0,,,,
Q_LOC_09,Which places should I visit in the Monaragala District?,location_query,location_query,1.0,12.38,0.9,0.8617383148382028,0.9999999999,1.0,,,,
Q_LOC_10,What to see around the Hambantota District?,location_query,location_query,0.98,11.33,0.7142857142857143,0.8497522170426416,0.9999999999,0.6666666666666666,,,,
Q_COM_01,What are the main differences between Yala National Park and Udawalawe National Park?,comparison_query,comparison_query,1.0,11.44,0.8571428571428571,0.9999995822722272,0.9999999999,1.0,,,,
Q_COM_02,How does Sigiriya Lion Rock compare to Pidurangala Rock for visitors?,comparison_query,comparison_query,1.0,12.42,0.875,0.9273222245659972,0.9999999999,1.0,,,,
Q_COM_03,Can you compare Arugam Bay and Weligama Beach?,comparison_query,comparison_query,1.0,12.89,0.9722222222222222,0.9002618778031707,0.9999999999,1.0,,,,
Q_COM_04,Compare the experiences of visiting Victoria Park of Nuwara Eliya versus Ella Rock.,comparison_query,comparison_query,1.0,11.38,0.9655172413793104,0.9571905573834943,0.9999999999,0.6666666666666666,,,,
Q_COM_05,What are the differences between Unawatuna Beach and Mirissa Beach?,comparison_query,comparison_query,1.0,18.3,0.9130434782608696,0.9999998674545396,0.9999999999,0.3333333333333333,,,,
Q_COM_06,Compare Ruwanweli Maha Seya and Polonnaruwa Vatadage.,comparison_query,comparison_query,1.0,11.86,1.0,0.8344920133839192,0.9999999999,0.0,,,,
Q_COM_07,How do Gal Oya National Park and Madu River Safari by Buddhi compare for boat tours?,comparison_query,comparison_query,0.98,11.24,0.9333333333333332,0.9096099933611096,0.9999999999,1.0,,,,
Q_COM_08,Compare the Colombo National Museum and the Temple of the Sacred Tooth Relic.,comparison_query,comparison_query,1.0,11.09,0.9642857142857144,0.9288410905933184,0.9999999999,1.0,,,,
Q_COM_09,What is the difference between Minneriya National Park and Kaudulla National Park?,comparison_query,comparison_query,1.0,12.24,0.875,0.9852840072957058,0.9999999999,0.25,,,,
Q_COM_10,Compare Galle Dutch Fort and Jaffna Fort.,comparison_query,comparison_query,1.0,11.66,1.0,0.9011242667751737,0.9999999999,0.3333333333333333,,,,
