place,sentence,system_best_time,system_crowd_level,system_cost_level,true_best_time,true_crowd_level,true_cost_level,notes
Handunugoda_Tea_Estate,Maybe there are some commissions at work here since the tour is 'free'.,,,,0,0,1,
Isurumuniya_Temple,200 Rupee entry fee for access to the temple.,,,,0,0,1,
Hiriketiya_Beach,the beach was recommended a lot but i must have changed a lot,,,,0,0,0,
Jaffna_Fort,"Entrance is free and it's big enough for a stroll, particularly along the walls, but there isn't much to see inside.",,,,0,0,1,
Victoria_Park_of_Nuwara_Eliya,There is an entrance fee but I can't remember what it was so it mustn't have be too much!,,,,0,0,1,
Hummanaya_Blow_Hole,The homeowners in the area allow you to park on their land for a fee of Rs 50/-.,,,,0,0,1,
Victoria_Park_of_Nuwara_Eliya,"However, I don't think much of the 300 rupee entrance fee is spent on litter collection, as the place is filthy.",,,,0,0,1,
Bahiravokanda_Vihara_Buddha_Statue,"Once at the top, you enter into the temple area and pay a small fee of $1.35 pp.",,,,0,0,1,
Pinnawala_Elephant_Orphanage,"Has a collection of injured or orphaned elephants but the entry fee and charges for bathing, feeding and riding the elephants is very high and not worth it.",,,,0,0,1,
Ceylon_Tea_Museum,The only thing that spoiled our trip a little was the fact that the tickets were 100 rs more than we found on the official web site and we did not bring enough money.,,,,0,0,1,
Royal_Botanical_Gardens,"Not only do you pay considerably more to get in than local people, you are then extorted by the workers once inside.",,,,0,0,1,
Victoria_Park_of_Nuwara_Eliya,Nice place but you have to pay for the entrance.,,,,0,0,1,
Wewurukannala_Vihara,"As others have noted, the Buddha here is huge, and worth a look (and yes, you'll have to pay- 200 rupees to enter per person, then a donation to enter other buildings.",,,,0,0,1,
Japanese_Peace_Pagoda_-_Rumassala,Unlike other places there is no entry fee here so all you have to do is spent on transport.,,,,0,0,1,
Pinnawala_Elephant_Orphanage,"(So if you are staying at one of those hotels, and don't use the lane mentioned above for entry, you may not need a ticket.",,,,0,0,1,
Mihintale,"Ticket costs 1,000 rupees.",,,,0,0,1,
Dalawella_Beach,"So, now he charges Rs 500 per person but you get 3 rides on the swing for that.",,,,0,0,1,
Royal_Botanical_Gardens,Only con is that is expensive for foreigners.,,,,0,0,1,
Gregory_Lake,There was a small entrance fee to enter the lake area but it was worth the money.,,,,0,0,1,
Temple_of_the_Sacred_Tooth_Relic,There's an entrance fee for foreigners at this place.This place is bang in the city so parking can be a challenge especially in peak hours.,,,,0,0,1,
Mirissa_Beach,"the prices of the restaurants on the beach are high compared to other restaurants in sri lanka, but they offer good food",,,,0,0,0,
Turtle_Conservation_Project_Turtle_Watch,"Visited @ 8:30pm with my partner.We had our own scooter, so we were not subject to the inflated prices that tuk tuk drivers quote for their services.Once we arrived, management demanded a 1000rs payment with absolutely zero explanation of service.",,,,0,0,0,
Gangaramaya_Temple,On arrival we had to pay a small entrance fee to enter this beautiful temple.,,,,0,0,1,
Jaffna_Fort,20 LKR entry fee for the locals.,,,,0,0,1,
Mulgirigala_Raja_Maha_Vihara,Entry was 500 rupees per person.,,,,0,0,1,
Pedro_Tea_Factory,One must purchase an entry ticket which costs around Rs.250/= per person.,,,,0,0,1,
Seema_Malakaya_Temple,Entry ticket for Gangaramaya temple is valid here and is included.,,,,0,0,1,
Lipton_s_Seat,"I don't know what they base the bill on, but expect to pay somewhere between 600 and 800 LKR.",,,,0,0,1,
Kosgoda_Sea_Turtle_Conservation_Project,The 2000 LKR entry fee per person supports their vital work.,,,,0,0,1,
Kosgoda_Sea_Turtle_Conservation_Project,"First we’ve been told it’s 1000rs/person, I just said “is it 500 or 1000?” Then suddenly it became 500 rs/person!",,,,0,0,1,
Kaudulla_National_Park,we were charged 55 US dollars each which includes the entrance fee and jeep - we went at approximately 3.30pm.,,,,0,0,1,
Visit_Kanneliya_Rain_Forest,It cost 660 Rupees to enter and a further 1000 for the compulsory guide.,,,,0,0,1,
Horton_Plains_National_Park,"I think it’s way too expensive, given National Park entry is free in Australia.",,,,0,0,1,
Hakgala_Botanic_Gardens,Ticket costs foreigners 1100Rs and locals about 50Rs.,,,,0,0,1,
Mulgirigala_Raja_Maha_Vihara,We did not look for the price anywhere when we got down but we just don't get why he should end the tour on the top and anyway follow us down the stairs afterwards :).,,,,0,0,0,
Negombo_BeachUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,Weekends get busier with hundreds of locals.,,,,0,1,0,
Pedro_Tea_Factory,I would guess also less tourists.,,,,0,1,0,
Kataragama_Temple,I am sure that the same expectations were with the others who had being in the queue for hours.,,,,0,1,0,
Beddegana_Wetland_Park,good place spend time nature location maintained fine find lot couples week days working times less crowded,,,,0,1,0,
Dutch_Hospital_Shopping_Precinct,We visited in the evening and although busy it was never frenetic and all the restaurants and shops looked inviting.,,,,0,1,0,
Pedro_Tea_Factory,really interesting and informative tour is very workwhile,,,,0,0,0,
Ravana_Ella_FallsSomeone_from_this_business_manages_the_listing,You can swim and dive if you don't mind the crowd or you can just relax on the rocks and admire the fall.,,,,0,1,0,
Ruwanweli_Maha_Seya,even though the place is crowded in the morning or evening you can find a quiet place in that large samaluwa(area around the saya).,,,,0,1,0,
Abhayagiri_Dagaba,The place was deserted when we visited in the evening.,,,,1,1,0,
Nalanda_Gedige,So no tourist was around.,,,,0,1,0,
Jungle_Beach,A busy weekend visit.,,,,0,1,0,
Ancient_City_of_Polonnaruwa,We are able to take as many pictures as we want without having people in the background.,,,,0,1,0,
Pettah,"Absolutely packed and full of locals, which is always a good sign.",,,,0,1,0,
Casuarina_Beach,It wasn't crowded at all on the Saturday we went.,,,,0,1,0,
Jungle_Beach,"Overcrowed, dirty, smelly & full of trash!.",,,,0,1,0,
Mihintale,Fewer tourists than at Anuradhapura sites.,,,,0,1,0,
Ritigala_Forest_Monastery,"There are few other visitors, wonderfully quiet!",,,,0,1,0,
Temple_of_the_Sacred_Tooth_Relic,Very busy with lots of people queuing.,,,,0,1,0,
Sri_Pada_Adam_s_PeakUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,"It was only by following our guide 'off piste' that we had managed to reach the peak at all, the amount of people trying to come up the normal path had to be seen to be believed - please AVOID WEEKENDS at all costs.",,,,1,1,0,
Ella_Rock,"we started our trek to the beautiful ella rock in the morning of 31st aug, our local guide was dinuka (contact ellaholidays",,,,1,0,0,
Pidurangala_Rock,we climbed the rock for sunrise and it was an amazing experience,,,,1,0,0,
Pedro_Tea_Factory,Not fully functional on sundays.,,,,1,0,0,
Jami_Ul-Alfar_Mosque,"good place for photography, although i am not a muslim, i love its architecture",,,,0,0,0,
Sigiriya_Lion_Rock,Go early to avoid queues and heat.,,,,1,1,0,
Kalutara_Beach,"Because the water is not safe to swim in, so be aware of high waves and strong currents.",,,,0,0,0,
Ruwanweli_Maha_Seya,Visit either in the early morning or in the evening when the sun is not too hot.,,,,1,0,0,
Sri_Pada_Adam_s_PeakUnclaimedIf_you_own_this_business_claim_it_for_free_now_to_update_business_info_respond_to_reviews_and_more_Claim_this_listing,He showed us the book and said everyone pays 1000 rupees per person.,,,,0,0,1,
Horton_Plains_National_Park,you need to leave at 5am.,,,,1,0,0,
Lover_s_Leap_Falls,There was no much water in the fall during June 2019.,,,,1,0,0,
Pidurangala_Rock,We went up late afternoon for the sunset.,,,,1,0,0,
Horton_Plains_National_Park,Definitely start your hike at around 7AM!,,,,1,0,0,
Ruwanweli_Maha_Seya,It can be hot in day time.,,,,1,0,0,
Horton_Plains_National_Park,"The only drawback is that you have to get up very early (4:30 a.m.) to admire the sunrise and avoid the extreme heat.The hike is magnificent, around 10 km with varied elevations.",,,,1,0,0,
Galle_Dutch_Fort,"Make sure you walk early in the morning, or later afternoon for sunset.",,,,1,0,0,
Ruwanweli_Maha_Seya,Best time to visit during early morning before or after 5.,,,,1,0,0,
Sigiriya_Lion_Rock,Visit this place early to enjoy the dawn and sunrise.,,,,1,0,0,
Gregory_Lake,Do not visit in July on a windy and rainy day!.,,,,1,0,0,
Koggala_Lake,Best time to travel is after 4pm.,,,,1,0,0,
Sithulpawwa_Rock_Temple,However due to the weather conditions in the area its recommended to climb during early morning hours or evenings.,,,,1,0,0,
Aberdeen_Falls,(Till 12pm) Can walk close to the water fall.,,,,1,0,0,
Hakgala_Botanic_Gardens,We went on a weekday afternoon so there was hardly anyone.,,,,1,1,0,
Jungle_Beach,"We went during the public holidays so it was so busy with lots of noise, people & trash everywhere.",,,,1,1,0,
Polhena_Beach,"This is mainly a ""locals"" beach and busy at weekend and on public holidays.",,,,1,1,0,
Nilaveli_Beach,The beach is relatively less crowded on a weekday and filled with locals.,,,,1,1,0,
