place_name,feature,positive_count,negative_count,neutral_count,total_mentions,dominant_sentiment,average_confidence,sample_evidence,place_total_mentions,TF,doc_freq,IDF,TF_IDF,defining_score
Ambuluwawa Tower,Stairs,6,4,23,33,neutral,0.761,"diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which could sometimes be covered by the ongoing",256,0.12890625,47,1.255797872190522,0.16188019446205948,0.12319082798562726
Ambuluwawa Tower,Mosque,2,0,4,6,neutral,0.767,"Gampola Town Sri Lanka.It is a bio diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which could",256,0.0234375,5,3.4965075614664802,0.08194939597187063,0.06285518671042478
Ambuluwawa Tower,Scenic view,59,8,8,75,positive,0.821,"the view from up there is stunning.accessing the tower itself is free, getting there we had to hire this tiny care that resembled a golf car.",256,0.29296875,128,0.25391520998096345,0.07438922167411038,0.06107355099444462
Ambuluwawa Tower,Church,2,0,5,7,neutral,0.763,"Lanka.It is a bio diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which could sometimes",256,0.02734375,9,2.908720896564361,0.07953533701543175,0.06068546214277443
Ancient City of Polonnaruwa,Ancient ruins,153,6,110,269,positive,0.789,well maintained ruins,1577,0.17057704502219403,23,1.9704512579714308,0.33611375294503165,0.26519375107362997
Ancient City of Polonnaruwa,Museum,53,14,74,141,neutral,0.778,I highly recommend visiting the museum to gain a little knowledge before browsing the ruins.,1577,0.08941027266962587,36,1.5224265354444706,0.13612057165356395,0.10590180474647276
Ancient City of Polonnaruwa,Local guide,90,10,81,181,positive,0.762,a guide would be nice to unstandardised intricacies.,1577,0.11477488902980343,66,0.9162907318741551,0.10516716706989351,0.08013738130725886
Ancient City of Polonnaruwa,Heritage site,30,1,49,80,neutral,0.802,History and Heritage at its Best!,1577,0.05072923272035511,30,1.7047480922384253,0.08648056270074447,0.06935741128599707
Ancient City of Polonnaruwa,Temple,57,11,73,141,neutral,0.778,"Additionally, as you will be in and out of Buddhist temples, I'd suggest wearing socks, as the stones get very, very hot.",1577,0.08941027266962587,76,0.7752121336142496,0.0693119282432525,0.053924680173250444
Angurukaramulla Temple,Temple,101,4,45,150,positive,0.8,Nice temple!,490,0.30612244897959184,76,0.7752121336142496,0.23730983682068865,0.18984786945655094
Angurukaramulla Temple,Paintings,21,0,19,40,positive,0.782,Had an interesting 'tour' explaining Buddhism and the Buddhist paintings and statues.,490,0.08163265306122448,29,1.7386496439141066,0.14193058317666174,0.11098971604414948
Angurukaramulla Temple,Sculptures,40,0,20,60,positive,0.793,"We were told that this was the oldest temple in Negombo, and it was under restoration at the time we visited - there were loads of impressive statues and artworks in there , but many in a state of disrepair.",490,0.12244897959183673,55,1.0986122886681098,0.1345239537144624,0.10667749529556869
Angurukaramulla Temple,Buddha statue,26,0,23,49,positive,0.796,"Really loved this temple, the giant Buddha statue outside is lovely in itself but inside the other Buddhas and statues are really fabulous, as are the paintings and the ceilings, all really impressive.",490,0.1,47,1.255797872190522,0.12557978721905222,0.09996151062636557
Angurukaramulla Temple,Murals,8,0,7,15,positive,0.796,"They are renovating them all and there are statues and wall paintings.The main temple is also interesting with a lot of the many stories of Buddha's lives, it also has a very large reclining Buddha.There is also a building from 1941 that is fascinating",490,0.030612244897959183,11,2.70805020110221,0.08289949595210847,0.06598799877787834
Arugam Bay,Beach,152,19,63,234,positive,0.804,"It is a working fishing beach which sounds quite cool but the reality is working beaches are not clean and fishermen are not wealthy so there is never any sensation of being in a desert island paradise,",1030,0.22718446601941747,64,0.9470623905409088,0.21515786348210936,0.17298692223961593
Arugam Bay,Restaurants,43,12,33,88,positive,0.796,"It is a bit more expensive than other hotels ($42 night for my room) but it is spotlessly clean, has AC, and the staff is very helpful.The Thai restaurant in town is great and so was the Green Room for Sri Lankan curries.Take a tuk-tuk out of town to surf some less crowded waves or get up very early.",1030,0.0854368932038835,49,1.214125175789954,0.10373108298011258,0.08256994205216961
Arugam Bay,Sandy beach,18,2,10,30,positive,0.759,"Great beach for surfing with a giant sand bar separating the surfing beach and mainland, giving a great swimming area for children inbetween.",1030,0.02912621359223301,15,2.3978952727983707,0.0698416098873312,0.053009781904484375
Arugam Bay,Accommodation,42,9,36,87,positive,0.789,nice.Beautiful drive from colombo and many road work is going on.Still the town is very slow in the night and not many people around.Hotel Tri Start was a bad experiance and the food was so bad we couldnt even eat.Prices also high they charge 5000 half board for rice & curry.Pool was green in colour.Place must see but choose,1030,0.08446601941747572,90,0.6061358035703155,0.05119787855399752,0.04039512617910404
Arugam Bay,Boat service,9,0,9,18,positive,0.77,"The bay itself is beautiful, especially at sunset (and doubly so at the onset of a warm storm) and sunrise when all the fishing boats come in.",1030,0.017475728155339806,9,2.908720896564361,0.05083201566811505,0.03914065206444859
Bahiravokanda Vihara Buddha Statue,Buddha statue,132,10,112,254,positive,0.803,Couldn't get spare time to visit the place actually but had a nice view of Buddha watching the city from Kandy view point,1630,0.1558282208588957,47,1.255797872190522,0.19568874818183593,0.15713806479001427
Bahiravokanda Vihara Buddha Statue,Sculptures,154,12,86,252,positive,0.796,"Incredible view of Kandy during sunset, very neat statue",1630,0.15460122699386503,55,1.0986122886681098,0.16984680781862802,0.13519805902362791
Bahiravokanda Vihara Buddha Statue,Temple,88,7,66,161,positive,0.791,But we walked all the way up so went in (at night) and to be fair the view of Kandy where good but the temple itself wasn't that impressive!,1630,0.09877300613496932,76,0.7752121336142496,0.07657003282938293,0.060566895968041906
Bahiravokanda Vihara Buddha Statue,Stairs,29,16,43,88,neutral,0.779,Unfortunately the stairs all the way to the top weren't open but got some great views of Kandy all the same.,1630,0.053987730061349694,47,1.255797872190522,0.06779767653543924,0.05281439002110717
Bahiravokanda Vihara Buddha Statue,Scenic view,316,5,51,372,positive,0.802,Couldn't get spare time to visit the place actually but had a nice view of Buddha watching the city from Kandy view point,1630,0.2282208588957055,128,0.25391520998096345,0.0579487473085389,0.0464748953414482
Baker's Falls,Waterfall,69,2,32,103,positive,0.798,Keep your hands free to help you grip the branches as you climb up and down to get to the falls.,205,0.5024390243902439,24,1.927891643552635,0.9686479965166898,0.7729811012203185
Baker's Falls,Trail,13,3,17,33,neutral,0.755,The waterfalls are very nice...the climb down to see them requires a somewhat challenging climb up to return to the trail!,205,0.16097560975609757,39,1.4423838277709342,0.23218861617776015,0.17530240521420892
Baker's Falls,Stairs,7,4,6,17,positive,0.786,The falls are worth visiting along the Trek in the Horton National Park But they clerly need to make a better access as the stairs leading down to the falls are so big even for a tall person like me specially when they charge you so much for the entrace fees,205,0.08292682926829269,47,1.255797872190522,0.10413933574262867,0.08185351789370614
Baker's Falls,Mountain,2,0,3,5,neutral,0.756,"Located in Horton's Plains National Park as part of the 9.5km trek that also takes in World's End, Baker's falls offers a contrast in scenery after walking across the drier plains section, where we spotted some sambal deer and lovely mountain scenery.",205,0.024390243902439025,24,1.927891643552635,0.04702174740372281,0.03554844103721444
Baker's Falls,Weather condition,3,10,0,13,negative,0.785,"The road leading to the fall is of a damp road specially if your’ going on a rainy day(which we went), and it best advice to go thier in the morning or afternoon and not in the evening , cause when you return from their if it’s dark you’ll have a difficult time getting",205,0.06341463414634146,82,0.6992262266363275,0.04434117534766955,0.034807822647920594
Bambarakanda Falls,Waterfall,47,3,38,88,positive,0.786,"i visited this place last year you can get a great view once you go near to the waterfall ,also if you go prepared you can have a cool bath in the base pool.",245,0.35918367346938773,24,1.927891643552635,0.6924672025821709,0.5442792212295863
Bambarakanda Falls,Forest,8,1,9,18,neutral,0.777,Easy one through a lovely Pine forest.,245,0.07346938775510205,51,1.1741198411762548,0.0862618658823371,0.06702546979057593
Bambarakanda Falls,Stairs,3,1,10,14,neutral,0.76,Because of the steps put in place it's not difficult terrain.,245,0.05714285714285714,47,1.255797872190522,0.07175987841088698,0.054537507592274104
Bambarakanda Falls,Toilets,3,0,6,9,neutral,0.773,On the way 2 clean public toilets are available.,245,0.036734693877551024,37,1.4950275612563562,0.05491937980125391,0.04245268058636927
Bambarakanda Falls,Ticket price,8,2,12,22,neutral,0.782,There is a ticket issuing counter at the entrance of the waterfall and nice foot pathway has been made to the base pool of the waterfall.,245,0.08979591836734693,94,0.5626506916305767,0.050523735574990555,0.039509561219642615
Batticaloa Fort,Lagoon,13,0,6,19,positive,0.792,there are apparently to convert it to tourism given that Sri Lanka has enjoyed peace since 2009.The outer wall has a lovely section fronting the lagoon that would look great if incorporated into an exclusive hotel.The soldiers gave our Australian group permission to enter.,154,0.12337662337662338,11,2.70805020110221,0.33411008974637657,0.26461519107913023
Batticaloa Fort,Local guide,14,0,16,30,neutral,0.753,Ignatius really good tour guide.,154,0.19480519480519481,66,0.9162907318741551,0.17849819452093932,0.1344091404742673
Batticaloa Fort,Guided tours,6,0,5,11,positive,0.824,Ignatius really good tour guide.,154,0.07142857142857142,36,1.5224265354444706,0.1087447525317479,0.08960567608616025
Batticaloa Fort,Colonial architecture,2,0,6,8,neutral,0.755,We visited Batticaloa fort during our tour.It was a very colonial semi-mega structure which attracted our minds.Tour guide Mr Ghanaseelan was very enthusiastic and helpful.It is one of hallmark in Batticaloa and your time is not wasted if you are interested about how the history evolves.Ranga - From Australia,154,0.05194805194805195,24,1.927891643552635,0.10015021524948754,0.07561341251336309
Batticaloa Fort,Bridge,3,0,4,7,neutral,0.766,"Once you climbed, you can go all around and there are few places with nice view or lagoon and kalladhy bridge.",154,0.045454545454545456,20,2.1102132003465894,0.09591878183393589,0.07347378688479489
Beddegana Wetland Park,Trail,6,0,5,11,positive,0.765,"see.You have to park your vehicle bit far and have to walk 150m to enter the park.Local entrance is Rs 100 per one.There are wooden trails to walk on.One goes through inside the bit forest and can reach to Diyawanna lake.You can enjoy sunset,lake,huge building tops and also take photographs of bats flying.When you finished",43,0.2558139534883721,39,1.4423838277709342,0.3689819094297739,0.282271160713777
Beddegana Wetland Park,Peacefulness,17,0,0,17,positive,0.786,Unbelievably Peaceful and Beautiful.,43,0.3953488372093023,129,0.24613306953890854,0.09730842284096383,0.07648442035299757
Beddegana Wetland Park,Service quality,4,0,1,5,positive,0.788,There are helpful boards at intervals with pictures and names of the fauna you might spot.,43,0.11627906976744186,88,0.6286086594223741,0.07309403016539233,0.05759809577032916
Beddegana Wetland Park,Cleanliness,4,1,0,5,positive,0.864,It's very well maintained and there were ample places to keep you interested (if you're really into nature).,43,0.11627906976744186,117,0.34377153910282454,0.0399734347793982,0.03453704764940004
Beddegana Wetland Park,Scenic view,3,0,2,5,positive,0.764,This park is absolutely peaceful and has amazing trails with magnificent views.,43,0.11627906976744186,128,0.25391520998096345,0.0295250244163911,0.0225571186541228
Bentota Beach,Beach,455,21,83,559,positive,0.819,"Lovely long beach, nice sand, not crowded just be careful of the undertow in the water.",2373,0.23556679308891698,64,0.9470623905409088,0.22309645019484534,0.1827159927095783
Bentota Beach,Sea,99,21,56,176,positive,0.752,"Soft sand almost like powder with the waves creating lots of fun in the sea , bentota beach is a hidden gem and only a short walk from where we stayed (aayu’s guest house and very quiet not your usual crowds , early December for a bit of quiet paradise , jan : feb for a busier time :::::perfect :::::",2373,0.0741677201854193,7,3.1600353248452673,0.23437261574916435,0.1762482070433716
Bentota Beach,Sandy beach,134,7,48,189,positive,0.771,"Lovely long beach, nice sand, not crowded just be careful of the undertow in the water.",2373,0.07964601769911504,15,2.3978952727983707,0.19098280933792333,0.14724774599953888
Bentota Beach,Waves,69,14,60,143,positive,0.769,"Soft sand almost like powder with the waves creating lots of fun in the sea , bentota beach is a hidden gem and only a short walk from where we stayed (aayu’s guest house and very quiet not your usual crowds , early December for a bit of quiet paradise , jan : feb for a busier time :::::perfect :::::",2373,0.06026127265065318,20,2.1102132003465894,0.12716413301709326,0.09778921829014471
Bentota Beach,Sunset view,54,0,24,78,positive,0.848,We really enjoyed the sunset on the beach.,2373,0.03286978508217446,44,1.3217558399823195,0.043445830391327815,0.03684206417184599
Bogoda Wooden Bridge,Bridge,12,2,23,37,neutral,0.771,The bridge looks great when the stream beneath it is brim with water flowing fast and furious!,88,0.42045454545454547,20,2.1102132003465894,0.887248731963907,0.6840687723441723
Bogoda Wooden Bridge,Cave temple,1,0,6,7,neutral,0.794,"Amazing wooden bridge and cave temple, which were well worth the long scooter ride to get there.",88,0.07954545454545454,8,3.0265039322207445,0.24074463097210466,0.1911512369918511
Bogoda Wooden Bridge,Temple,11,1,14,26,neutral,0.772,Well worth exploring the Bogod temple just beside the bridge and it is older than the bridge dating back to 1 st century BC.,88,0.29545454545454547,76,0.7752121336142496,0.22903994856784649,0.1768188402943775
Bogoda Wooden Bridge,River,4,0,3,7,positive,0.786,Had some very nice scenary along on both sides of the river.,88,0.07954545454545454,33,1.6094379124341003,0.12802347030725797,0.10062644766150476
Bogoda Wooden Bridge,Stairs,1,0,4,5,neutral,0.752,We should walk about 50 steps to reach the bogoda temple.you can even spend the night in the vishrama hall (a place you can rest with all the needed facilities)the bogoda temple is a very ancient temple build by king,88,0.056818181818181816,47,1.255797872190522,0.07135215182900694,0.053656818175413214
Bopath Ella (Bopath Falls),Waterfall,15,3,9,27,positive,0.796,great falls,86,0.313953488372093,24,1.927891643552635,0.6052683066967575,0.48179357213061896
Bopath Ella (Bopath Falls),Rock formation,2,5,2,9,negative,0.8,There are nice rocks that you can get attractive photographs Recommend for everyone,86,0.10465116279069768,20,2.1102132003465894,0.22083626515255006,0.17666901212204006
Bopath Ella (Bopath Falls),River,3,1,4,8,neutral,0.78,"lovely cascade of water starting from a small stream and ending up in large cascades, easy access to the falls",86,0.09302325581395349,33,1.6094379124341003,0.14971515464503257,0.11677782062312542
Bopath Ella (Bopath Falls),Weather condition,0,9,0,9,negative,0.773,Even when no rain in the area suddenly water levels of the falls gets higher due to rains in over lands.,86,0.10465116279069768,82,0.6992262266363275,0.07317483767124358,0.05656414951987129
Bopath Ella (Bopath Falls),Safety,3,5,0,8,negative,0.84,Some one told us that it is dangerous some places in Bopath ella.,86,0.09302325581395349,86,0.651598177647073,0.06061378396716958,0.05091557853242244
Brief Garden - Bevis Bawa,Sculptures,29,1,25,55,positive,0.784,"lovely trees,flowers,well kept lawns,walled gardens.The house is full of old fashoned,colonial charme,nice drawings,statues by Geoffrey and a beautiful murale by Donald Friend,an Australian artist,nice collection of old photographs as well.The manager is gentle and invites you for tea when you visit the house.",792,0.06944444444444445,55,1.0986122886681098,0.07629252004639651,0.05981333571637487
Brief Garden - Bevis Bawa,Local guide,36,5,26,67,positive,0.767,"Interesting visit, excellent English speaking guide",792,0.0845959595959596,66,0.9162907318741551,0.07751449373177828,0.05945361669227394
Brief Garden - Bevis Bawa,Paintings,16,1,15,32,positive,0.777,"Sansoni and Donald Friend,the Australian artist during his five-year stay there in the 1950s are absorbing to explore,The sculptures , paintings, courtyards, open air showers and fountains all made their own quiet statements.One could have lingered more but closing hour beckoned and a cuppatea - which sadly never came - would",792,0.04040404040404041,29,1.7386496439141066,0.07024847046117604,0.05458306154833378
Brief Garden - Bevis Bawa,Trail,18,2,19,39,neutral,0.764,The drive itself is interesting as it takes you off the beaten track.,792,0.04924242424242424,39,1.4423838277709342,0.07102647636750813,0.05426422794477621
Brief Garden - Bevis Bawa,Ticket price,25,16,45,86,neutral,0.766,.One could have lingered more but closing hour beckoned and a cuppatea - which sadly never came - would have befitted the admission ticket and the host.,792,0.10858585858585859,94,0.5626506916305767,0.06109590843463333,0.04679946586092913
Buduruwagala Temple,Sculptures,46,2,32,80,positive,0.79,Nice Buddha statues carved into a giant rock,320,0.25,55,1.0986122886681098,0.27465307216702745,0.2169759270119517
Buduruwagala Temple,Buddha statue,16,1,25,42,neutral,0.792,Nice Buddha statues carved into a giant rock,320,0.13125,47,1.255797872190522,0.16482347072500603,0.1305401888142048
Buduruwagala Temple,Temple,29,1,16,46,positive,0.79,The temple assistants are very helpful & accept donations.,320,0.14375,76,0.7752121336142496,0.11143674420704837,0.08803502792356821
Buduruwagala Temple,Trail,7,1,5,13,positive,0.768,"Amazing little spot off the obvious track (thankfully our driver took us, most local tuktuk drivers also know where it is).",320,0.040625,39,1.4423838277709342,0.058596843003194204,0.04500237542645315
Buduruwagala Temple,Birds,5,1,4,10,positive,0.752,"Access to the site is by a long unmade road - the journey is well worth it as the scenery, flora, birds and the wildlife in the ponds around the area are as much an attraction as the temple itselfI thought the rock carvings have survived in remarkable condition bearing in mind their ageDefinitely",320,0.03125,40,1.4170660197866443,0.04428331311833263,0.03330105146498614
Casuarina Beach,Beach,125,21,29,175,positive,0.812,Best public beach in Jaffna lined with Casa trees..clean beach but lot of local crowds..worth making a short stop,576,0.3038194444444444,64,0.9470623905409088,0.28773596934836637,0.2336416071108735
Casuarina Beach,Water depth,18,4,13,35,positive,0.77,"We really enjoyed Casurina Beach as the water was lovely and warm and shallow and there were no big strong waves, making it perfect for swimming and ball games.",576,0.06076388888888889,13,2.540996116439044,0.15440080568640024,0.1188886203785282
Casuarina Beach,Changing rooms,2,1,7,10,neutral,0.806,"The casurina beach was recommended by an old friend , so decided to make a trek , felt it was well worth the trip , awesome beach , need to have more option for showers and changing rooms",576,0.017361111111111112,3,4.007333185232471,0.06957175668806374,0.05607483589057938
Casuarina Beach,Toilets,7,5,13,25,neutral,0.782,wash rooms and toilet facilities are excellent.,576,0.043402777777777776,37,1.4950275612563562,0.06488834901286268,0.05074268892805862
Casuarina Beach,Waves,12,0,4,16,positive,0.79,It was a very clear stretch of beach with hardly any waves.,576,0.027777777777777776,20,2.1102132003465894,0.05861703334296081,0.046307456340939045
Ceylon Tea Museum,Museum,135,19,97,251,positive,0.787,"I recommend better to visit the Tea Museum, a real museum with all the Victorian machinery, in an original building.",1120,0.22410714285714287,36,1.5224265354444706,0.34118666106835904,0.2685139022607986
Ceylon Tea Museum,Local guide,81,9,56,146,positive,0.771,"Our guide was fantastic though, very friendly and knowledgeable, wish we could have paid her instead of the museum",1120,0.13035714285714287,66,0.9162907318741551,0.11944504183359522,0.09209212725370192
Ceylon Tea Museum,Tea plantation,21,2,31,54,neutral,0.817,Not for the faint hearted but well worth it to see the tea plantations and workers picking leaves!,1120,0.048214285714285716,16,2.3333567516607996,0.11250112909793142,0.09191342247300996
Ceylon Tea Museum,Mountain,25,3,23,51,positive,0.756,The tea museum was very interesting - it was a lovely view looking at the tea pickers and the fields - however the journey was quite hairy and long (hairpin bends up and down the mountain for a number of hours),1120,0.045535714285714284,24,1.927891643552635,0.08778792305462892,0.06636766982929947
Ceylon Tea Museum,Guided tours,34,1,19,54,positive,0.833,"Very quiet when we visited, but the tour guide was excellent guiding us round the various exhibits.",1120,0.048214285714285716,36,1.5224265354444706,0.07340270795892984,0.06114445572978855
Coconut Tree Hill,Sea,26,1,8,35,positive,0.784,You can hear the soothing sound of the waves hitting the shore all the time and gaze at the beautiful sight of the trees perched over Indian ocean for as long as you like.,296,0.11824324324324324,7,3.1600353248452673,0.3736528255729201,0.2929438152491694
Coconut Tree Hill,Sunset view,27,3,13,43,positive,0.84,Amazing viewpoint with beautiful sunrise and sunset views.,296,0.14527027027027026,44,1.3217558399823195,0.19201182810553963,0.1612899356086533
Coconut Tree Hill,Beach,18,1,16,35,positive,0.785,Coconut Tree Hill was the best view point to get beautiful view of the sunset and the beach from under the coconut tress,296,0.11824324324324324,64,0.9470623905409088,0.1119837286112561,0.08790722695983605
Coconut Tree Hill,Viewpoint,10,1,4,15,positive,0.824,Amazing viewpoint with beautiful sunrise and sunset views.,296,0.05067567567567568,29,1.7386496439141066,0.08810724546862027,0.07260037026614309
Coconut Tree Hill,Sunrise view,9,0,3,12,positive,0.848,Amazing viewpoint with beautiful sunrise and sunset views.,296,0.04054054054054054,21,2.0614230361771577,0.08357120416934424,0.07086838113560391
Colombo Lotus Tower,Viewpoint,9,1,9,19,positive,0.828,"Below the observation deck, the tower also has a beautiful revolving restaurant, however one has to pre-book the same.",165,0.11515151515151516,29,1.7386496439141066,0.20020814081435168,0.16577234059428317
Colombo Lotus Tower,Restaurants,6,0,8,14,neutral,0.78,"Below the observation deck, the tower also has a beautiful revolving restaurant, however one has to pre-book the same.",165,0.08484848484848485,49,1.214125175789954,0.10301668158217793,0.08035301163409879
Colombo Lotus Tower,Ticket price,8,7,11,26,neutral,0.787,"This place is not worth it, they are charging 6000 rupees for foreigners to see literally nothing in the tower why would you pay 6000 rupees for a view per person.",165,0.15757575757575756,94,0.5626506916305767,0.08866010898421207,0.06977550577057491
Colombo Lotus Tower,Scenic view,41,2,9,52,positive,0.809,It also provides good views of port city currently under construction.,165,0.3151515151515151,128,0.25391520998096345,0.08002176314551575,0.06473760638472224
Colombo Lotus Tower,Sunset view,4,0,1,5,positive,0.844,"Nothing overly special to be frank, although sunset was spectacular!",165,0.030303030303030304,44,1.3217558399823195,0.0400532072721915,0.033804906937729626
Colombo National Museum,Museum,190,16,140,346,positive,0.789,The museum has a pretty good storytelling going on which make the collections enjoyable.,965,0.35854922279792745,36,1.5224265354444706,0.5458648510505563,0.4306873674788889
Colombo National Museum,Colonial architecture,35,1,24,60,positive,0.792,Beautiful colonial style building with interesting collection,965,0.06217616580310881,24,1.927891643552635,0.11986891047995658,0.09493617710012561
Colombo National Museum,Cafes,21,0,16,37,positive,0.755,"Not very interactive for kids, more old school but coffee shop and souvenir shop are both good.",965,0.0383419689119171,15,2.3978952727983707,0.0919400260036681,0.06941471963276942
Colombo National Museum,Paintings,13,1,19,33,neutral,0.773,"You can find different displays in this musea, statues from all over the country and from different centuries, but also paintings, coins, battle equipment, agriculture equipment, masks.Done with child who also enjoyed the different rooms",965,0.03419689119170984,29,1.7386496439141066,0.05945641269343577,0.04595980701202585
Colombo National Museum,Heritage site,17,0,16,33,positive,0.787,Great place to understand the heritage.,965,0.03419689119170984,30,1.7047480922384253,0.058297085019552365,0.04587980591038771
Dagoba of Thuparama,Stupa,39,2,51,92,neutral,0.776,A nice Dagoba from Ancient times,223,0.4125560538116592,29,1.7386496439141066,0.7172904360542502,0.5566173783780982
Dagoba of Thuparama,Ancient ruins,8,0,12,20,neutral,0.762,Next to this dagoba ther are the ruins of ancient temple which is worth seeng as well.,223,0.08968609865470852,23,1.9704512579714308,0.17672208591672026,0.13466222946854084
Dagoba of Thuparama,Buddha statue,2,1,24,27,neutral,0.751,"This is a compact(small)stupa, said to be containing the collar bone of Buddha,in that respect it is an important shrine.A walk around the stupa is recommended.",223,0.1210762331838565,47,1.255797872190522,0.1520472760051305,0.114187504279853
Dagoba of Thuparama,Temple,14,1,16,31,neutral,0.777,Amazing little temple,223,0.13901345291479822,76,0.7752121336142496,0.10776491543516475,0.08373333929312302
Dagoba of Thuparama,Hindu shrine,3,0,9,12,neutral,0.758,"This is a compact(small)stupa, said to be containing the collar bone of Buddha,in that respect it is an important shrine.A walk around the stupa is recommended.",223,0.053811659192825115,39,1.4423838277709342,0.07761706696525207,0.05883373675966107
Dambulla Cave Temple,Cave,193,28,131,352,positive,0.76,"There are 5 caves: start at the one furthest from the entrance and work back - that way you get the best last.,Caves 3-5 are underwhelming but Caves 1&2 are worthwhile.",2212,0.15913200723327306,2,4.412798293340635,0.7022174499348569,0.5336852619504913
