place_name,feature,positive_count,negative_count,neutral_count,total_mentions,dominant_sentiment,average_confidence,sample_evidence
Abhayagiri Dagaba,Peacefulness,18,0,0,18,positive,0.816,The Twin Bathing Pools (Kottum Putan) are very tranquil and worth a 5-10 minute stop as it’s a great example of the amazing engineering and water management that was typical across ancient Sri Lanka.
Abhayagiri Dagaba,Public transport access,1,2,2,5,negative,0.808,Its on the outskirts of Anuradhapura and is worth the walk or tuk tuk ride.
Abhayagiri Dagaba,Restaurants,1,0,1,2,positive,0.77,"Cheap banana roti, veg roti are available for lunch along roadside restaurants."
Abhayagiri Dagaba,Road access,0,0,1,1,neutral,0.61,"During the rest of the day, the other dagobas I saw from the road, which was enough for me."
Abhayagiri Dagaba,Rock formation,0,0,1,1,neutral,0.66,It is the feeling of the heat of the paved slabs or rock steps under your feet and an appreciation and understanding forming of what worship is like for these people here.
Abhayagiri Dagaba,Safety,2,0,1,3,positive,0.82,The guards didn’t seem to like us climbing up the base rings of the Abhayagiri Dagoba (stupa).
Abhayagiri Dagaba,Sandy beach,0,1,0,1,negative,0.72,It is supposedly built on a spot where Buddha left a footprint.It helps to wear socks as walking up to the site on the very hot stones and sand pathways can be very difficult in bare feet
Abhayagiri Dagaba,Scenic view,3,3,1,7,positive,0.773,"This dagoba was so busy with locals praying and visiting, so we decided to enjoy the view of this dagoba from the enterance."
Abhayagiri Dagaba,Sculptures,6,0,6,12,positive,0.777,If you are in the area I would recommend that you also visit the ruins of King Mahasen’s Palace to see an exquisite example of a moonstone doorstep with finely detailed symbolic carvings; the Ratnaprasada (Gem Place) for the guardstone; and the Mahapali Refectory with its huge rice trough and bathing pools.
Abhayagiri Dagaba,Service quality,1,0,0,1,positive,0.8,"It has been restored after many years of hard work.The place is full of history, so a guide or a guide book will be very helpful.Worth a visit even if you are not a Buddhist to see the artistic aspect of it.Be properly dressed as a mark of respect to Buddhism.The best time to visit is early morning till 11am"
Abhayagiri Dagaba,Shops,0,0,1,1,neutral,0.61,"Also, there few toilets, and few places to buy water, though there is at least one rustic shop near the Abhayagiri Dagoba that has cold drinking water for sale."
Abhayagiri Dagaba,Signage,0,0,2,2,neutral,0.74,"As with most of Anuradhapura, signage was practically non existent with very little in the way of historical description at each monument."
Abhayagiri Dagaba,Souvenir stalls,0,1,1,2,negative,0.79,"However, by the time we'd walked to the 'moonstone' area (about 600 metres away - shoes allowed) the tourist stalls were in full swing and we were pursued by a postcard seller!If we are honest, we felt slightly underwhelmed by the dagoba and struggle to see how a day ticket (for the main sites) can"
Abhayagiri Dagaba,Stairs,3,0,1,4,positive,0.765,Two slabs erected on either side of steps of flights are guard stone.Impressive image house having reclining Buddha.
Abhayagiri Dagaba,Stupa,33,5,54,92,neutral,0.772,The Abhayagiri Dagoba will be spectacular once its sheds its bamboo skirt.
Abhayagiri Dagaba,Temple,8,2,17,27,neutral,0.768,"and monuments of ancient ruins such as great dagabas, temples with great sculpture, world famous ""Isurumuni lovers"" in Isurumuniya viharaya, the sacred bo tree , the world famous""samadhi pilimaya"" of lord Buddha which depicts the great talents of ancient sculpture etc."
Abhayagiri Dagaba,Ticket price,2,3,6,11,neutral,0.776,"When approached by a man who said he worked for the sites, insisting that we pay for walking along the street, I contacted the tourist police, who said we were well within our rights to walk along without a ticket."
Abhayagiri Dagaba,Toilets,0,0,1,1,neutral,0.74,"Also, there few toilets, and few places to buy water, though there is at least one rustic shop near the Abhayagiri Dagoba that has cold drinking water for sale."
Abhayagiri Dagaba,Value for money,4,2,0,6,positive,0.86,"The area is too big to cover on foot in a single day and, whilst bicycles and TukTuks are easy and cheap to hire, I would recommend a driver/guide who can direct you to and provide commentary on the most significant sites."
Abhayagiri Dagaba,Water depth,0,0,1,1,neutral,0.66,The Buddha is in Samadhi (deep meditation) posture (right leg on top of left).
Abhayagiri Dagaba,Waves,1,0,0,1,positive,0.72,Prayer flags wave in the breeze to the serene surroundings.
Abhayagiri Dagaba,Weather condition,0,22,0,22,negative,0.727,"The temple is in a much better state since my last visit, make sure you visit this place before 11 a.m or after 4 p.m as it can be very hot & since you are not allowed to wear shoes it can be a problem to walk around.Well worth a visit as its an architectural wonder."
Ambewela Farms,Accessibility,1,0,1,2,positive,0.81,This farm is a huge farm which is accessible to people.
Ambewela Farms,Accommodation,1,2,1,4,negative,0.785,"However, it was bad when I went there with my family last Decemebr - we found it closed for a month which was even not informed to me by my hotel as they were also not aware."
Ambewela Farms,Ancient ruins,1,0,0,1,positive,0.84,"I very much enjoyed my visit, which made a great contrast with the rest of my archaeological tour."
Ambewela Farms,Cafes,3,0,3,6,positive,0.697,"Saw baby cows, studs, had fresh warm milk from their cafe!"
Ambewela Farms,Cleanliness,32,5,2,39,positive,0.879,The facilities are not very clean either.
Ambewela Farms,Crowdedness,2,10,1,13,negative,0.857,"Nice experience for children especially...Incredibly, the toilets were very clean, even though we visited during peak time with large crowds."
Ambewela Farms,Entrance fee,5,2,10,17,neutral,0.831,"Foreigners are charged $20 entrance fee while Sri Lankans pay $10, which is a far more reasonable price for what you get."
Ambewela Farms,Family friendliness,51,5,26,82,positive,0.752,"Cool climes, Pastures more than green, Great place for kids and people who love to see the dairy industry indights to give it a go, dont miss to enjoy a hot glass of milk or munch a cube of fresh chesse"
Ambewela Farms,Food quality,16,0,3,19,positive,0.78,"Have good food, but the star attraction on food department is the Fresh Milk."
Ambewela Farms,Guided tours,0,0,2,2,neutral,0.78,The only drawback was there was no guided tour for this place
Ambewela Farms,Lake,4,0,2,6,positive,0.727,You get to pass a beautiful lake and a dam which you will not feel like taking your eyes off from the view!
Ambewela Farms,Local guide,4,1,7,12,neutral,0.752,The local shop needs drastic makeover & better staff & hygiene.The entry ticket is expensive seeing that not even a basic guide is provided.
Ambewela Farms,Market,1,0,1,2,positive,0.79,"Market it better at its origins.I would give this facility only a 'good' review, despite its stunning location."
Ambewela Farms,Mountain,21,1,12,34,positive,0.778,They drive is very beautiful and picturesque - with hills covered in mist and dotted with cattle grazing around.
Ambewela Farms,Noise level,0,1,0,1,negative,0.8,"Plus,we were able to enjoy without the noisy crowd which arrived later on when we were reaching the end of our tour.Animals were treated well."
Ambewela Farms,Parking,0,0,2,2,neutral,0.74,Parking available.
Ambewela Farms,Peacefulness,3,0,0,3,positive,0.827,Dairy amidst a Serene Environment
Ambewela Farms,Public transport access,2,1,1,4,positive,0.795,Walk from Ambewela train station to Ambewela Farm 30min-free :)(You won't miss the farm sign.
Ambewela Farms,Restaurants,11,3,14,28,neutral,0.774,The cheese factory was closed when we went and the restaurant's idea of milk shake was a scoop of ice cream in a glass of milk.
Ambewela Farms,Road access,10,5,13,28,neutral,0.695,"Only bad think you can say is the ride, terrible road right up to the Railway crossing junction, beyond that the Farm has maintained the road well."
Ambewela Farms,Safety,0,0,1,1,neutral,0.78,Not very sure about safety measures for visitors.
Ambewela Farms,Scenic view,73,0,30,103,positive,0.801,You get to pass a beautiful lake and a dam which you will not feel like taking your eyes off from the view!
Ambewela Farms,Sea,0,0,1,1,neutral,0.66,One can sea animals in cow shed and understand the whole process of dairy farming.
Ambewela Farms,Service quality,8,1,10,19,neutral,0.777,The local shop needs drastic makeover & better staff & hygiene.The entry ticket is expensive seeing that not even a basic guide is provided.
Ambewela Farms,Shops,13,3,8,24,positive,0.702,"But my advice is to stick to the fresh stuff, since you can get the other stuff from any shop."
Ambewela Farms,Signage,1,0,3,4,neutral,0.705,Walk from Ambewela train station to Ambewela Farm 30min-free :)(You won't miss the farm sign.
Ambewela Farms,Souvenir stalls,0,0,1,1,neutral,0.74,"These are a type of tie-stall where the caretakers are able to provide individualized attention and care for the expectant cows, and makes it easier for them to identify any inconsistencies in a cow’s daily activity."
Ambewela Farms,Stairs,1,0,1,2,positive,0.69,"When I step in to the farm cold breeze make me feel the farming is a nice job, after enter to the farm they just show us only demonstrations of farming."
Ambewela Farms,Tea plantation,2,0,1,3,positive,0.847,"Train Nanuoya to Ambewela 20min-15LKR (Ella train)(You can enjoy stunning views over farms, tea plantations, Horton Plain and waterfalls)3."
Ambewela Farms,Ticket price,14,9,28,51,neutral,0.766,"Nice place to see Cows,goats & Rabbits raised for economic purposes.You could see the milking of cows on specific times.The cafetaria serves fresh milk , Yoghurt , snacks etc.Rs.100 for entrance not worth it, Rs.20 for children..You could see Rabbits raised for meat and Goat as well."
Ambewela Farms,Toilets,5,1,4,10,positive,0.792,Toilets were terrible.
Ambewela Farms,Trail,2,0,1,3,positive,0.74,Well maintained flowered paths and lovely atmosphere.
Ambewela Farms,Value for money,13,3,0,16,positive,0.833,If this is not a heaven i would wonder how heaven is?Its a greeny farm where you can see cows free in the fields.
Ambewela Farms,Waterfall,4,0,0,4,positive,0.82,"Train Nanuoya to Ambewela 20min-15LKR (Ella train)(You can enjoy stunning views over farms, tea plantations, Horton Plain and waterfalls)3."
Ambewela Farms,Weather condition,12,26,7,45,negative,0.759,"Cool climes, Pastures more than green, Great place for kids and people who love to see the dairy industry indights to give it a go, dont miss to enjoy a hot glass of milk or munch a cube of fresh chesse"
Ambewela Farms,Wildlife,31,10,32,73,neutral,0.786,"Recommend to any one who loves the nature and animals!,"
Ambuluwawa Tower,Birds,0,0,1,1,neutral,0.66,Feel like a bird.
Ambuluwawa Tower,Cafes,1,0,3,4,neutral,0.705,There’s also a great cafe with views!
Ambuluwawa Tower,Cave,0,0,1,1,neutral,0.74,There are caves like things where you can go and get that cave experience.
Ambuluwawa Tower,Church,2,0,5,7,neutral,0.763,"Lanka.It is a bio diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which could sometimes"
Ambuluwawa Tower,Cleanliness,2,3,0,5,negative,0.872,Its not well maintained to be frank.
Ambuluwawa Tower,Crowdedness,0,12,0,12,negative,0.817,"Amazing 360 degree view of the beautiful middle mountain range of Sri Lanka, not much crowded, a recently made rare shape structure ."
Ambuluwawa Tower,Entrance fee,1,1,4,6,neutral,0.82,"Additionally, starting from January 1st, the entry fee for tourists will double to 2000 LKR, which is worth considering when planning a visit."
Ambuluwawa Tower,Family friendliness,1,3,2,6,negative,0.753,kinda difficult to climb however it was not difficult climb any of the places we climb in srilanka .There is a lack of safety for kids If you are over weight person you may not be able to move from top.If you are travelling by open vehicle beware of monkeys They will steal everything when you reached to vehicle.
Ambuluwawa Tower,Food quality,0,1,0,1,negative,0.72,Please avoid eating in the premises because monkeys will try to snatch your food.
Ambuluwawa Tower,Hindu shrine,2,0,6,8,neutral,0.76,"Gampola Town Sri Lanka.It is a bio diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which"
Ambuluwawa Tower,Mosque,2,0,4,6,neutral,0.767,"Gampola Town Sri Lanka.It is a bio diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which could"
Ambuluwawa Tower,Mountain,17,2,7,26,positive,0.787,"ongoing mist.It has several viewing platforms for to enjoy the stunning views.When we climb to the top of this tower,we can see Adam's peak,Knuckles range,Bagathale rock,Piduruthalagala mountain.This is an awesome experience I had ever experienced."
Ambuluwawa Tower,Paintings,1,0,0,1,positive,0.8,"Once at the top, the 360-degree panoramic views are breathtaking – misty mountains, lush green valleys, tea plantations, and distant towns all spread out beneath you like a painting.What makes Ambuluwawa even more special is its bio-diversity park, home to a wide variety of trees, plants, and birdlife."
Ambuluwawa Tower,Parking,0,1,2,3,neutral,0.76,rubbish as a bus - yes a large bus got up there and he had to do 3 point maneuver to get around every corner and once up there the parking is full of cars!
Ambuluwawa Tower,Peacefulness,7,0,0,7,positive,0.829,Try and go when it's really quiet.
Ambuluwawa Tower,Public transport access,6,4,12,22,neutral,0.805,some larger people had to turn around because it was too narrow!Once at the top: magnificent and breathtaking view looking down….Try the experience!Access is free… you can go up to the entrance on foot or by tuk tuk…
Ambuluwawa Tower,Restaurants,1,0,0,1,positive,0.84,and restaurants good service..
Ambuluwawa Tower,Road access,4,1,2,7,positive,0.717,A very beautiful tower with a beautiful road to it.
Ambuluwawa Tower,Rock formation,1,0,1,2,positive,0.71,"platforms for to enjoy the stunning views.When we climb to the top of this tower,we can see Adam's peak,Knuckles range,Bagathale rock,Piduruthalagala mountain.This is an awesome experience I had ever experienced."
Ambuluwawa Tower,Safety,0,8,4,12,negative,0.84,thought It was kinda difficult to climb however it was not difficult climb any of the places we climb in srilanka .There is a lack of safety for kids If you are over weight person you may not be able to move from top.If you are travelling by open vehicle beware of monkeys They will steal everything when you reached to vehicle.
Ambuluwawa Tower,Scenic view,59,8,8,75,positive,0.821,"the view from up there is stunning.accessing the tower itself is free, getting there we had to hire this tiny care that resembled a golf car."
Ambuluwawa Tower,Sea,1,0,2,3,neutral,0.72,"The tower, spiraling high above the lush landscape, offers absolutely stunning 360-degree views of mountains, forests, and even the distant ocean on a clear day."
Ambuluwawa Tower,Service quality,1,2,0,3,negative,0.813,"However, it gets crowded due to the number of rude tourists who push and shove."
Ambuluwawa Tower,Shops,2,0,2,4,positive,0.695,there are several little cubbyholes to assist with passing.The views from the top are extraordinary and well worth the effort.Exit is via the shop which has a good selection of gifts.
Ambuluwawa Tower,Souvenir stalls,0,0,1,1,neutral,0.78,"I am afraid of heights and also feel uneasy about the construction quality of the place.The souvenir shop sells handmade goods at an overpriced rate, which discourages many people from buying.It's worth noting that the ""foreigner toilets"" - as they are named - are just two ordinary toilets."
Ambuluwawa Tower,Stairs,6,4,23,33,neutral,0.761,"diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views which could sometimes be covered by the ongoing"
Ambuluwawa Tower,Stupa,1,0,2,3,neutral,0.76,"The complex also features a Buddhist Stupa, a Christian Church, a Hindu Kovil, and a Muslim Mosque, making it a unique place of harmony and unity among different religions.The hike to the top is not too strenuous and is well worth the effort."
Ambuluwawa Tower,Tea plantation,1,0,0,1,positive,0.84,"Once at the top, the 360-degree panoramic views are breathtaking – misty mountains, lush green valleys, tea plantations, and distant towns all spread out beneath you like a painting.What makes Ambuluwawa even more special is its bio-diversity park, home to a wide variety of trees, plants, and birdlife."
Ambuluwawa Tower,Temple,4,0,6,10,neutral,0.776,"suburbs of Gampola Town Sri Lanka.It is a bio diversity complex as well as the first multi religious shrine in sri lanka.We can see a temple,kovil,mosque and a church.As we ascend the stairs,the width of the stairs decreases and it takes on a spiral shape.Reaching the top of Ambuluwawa we can experience the most amazing views"
Ambuluwawa Tower,Ticket price,5,3,4,12,positive,0.807,If you go by your personal vehicle you can drive passing the tickets counter at the entrance(highly recommended n make sure your vehicle is good condition you have to climb a very steep mountain).
Ambuluwawa Tower,Toilets,1,0,2,3,neutral,0.787,Nice coffee bar and clean toilets at the bottom.
Ambuluwawa Tower,Trail,1,1,1,3,positive,0.767,"The trail is moderately challenging, with a mix of steep sections and gentler slopes."
Ambuluwawa Tower,Value for money,3,6,0,9,negative,0.853,"the view from up there is stunning.accessing the tower itself is free, getting there we had to hire this tiny care that resembled a golf car."
Ambuluwawa Tower,Viewpoint,2,0,0,2,positive,0.84,"Ambuluwawa is a unique multi-religious site and a breathtaking viewing point where, on a clear day, you can see the horizon stretch in every direction—360 degrees of pure magic.To enter, you’ll need to purchase tickets at the main gate."
Ambuluwawa Tower,Water depth,1,0,0,1,positive,0.76,"I noticed something beautiful and deep: the higher you go, the fewer people can walk with you."
Ambuluwawa Tower,Weather condition,0,4,2,6,negative,0.747,It’s a bit windy but you won’t get a better picture.
Ancient City of Polonnaruwa,Accessibility,2,0,0,2,positive,0.84,We spent hours exploring the site by bicycle which is easily done and very accessible.
Ancient City of Polonnaruwa,Accommodation,5,0,9,14,neutral,0.77,There are a lot of the great hotels and small guest houses to stay in this city.
Ancient City of Polonnaruwa,Ancient ruins,153,6,110,269,positive,0.789,well maintained ruins
Ancient City of Polonnaruwa,Beach,0,1,1,2,negative,0.77,But Polonnaruwa proved difficult to defend against invaders from India and the Sinhalese kingdom moved across to the west coast and Polonnaruwa was allowed to decay.
Ancient City of Polonnaruwa,Birds,3,0,0,3,positive,0.84,The bank of the reservoir is a great place to photograph birds flying to and from the islands in the morning and evening.
Ancient City of Polonnaruwa,Boat service,2,0,1,3,positive,0.767,"Good idea to hire a bike, Tuk Tuk or have a driver at hand to ferry you from one spot to another."
Ancient City of Polonnaruwa,Buddha statue,32,3,31,66,positive,0.794,"One revers the Buddha without much reference to the animal kingdom and the other is prolific in carving animals, 'grotesque' masks and moonstones with story telling symbolisms threaded throughout the buildings and statues."
Ancient City of Polonnaruwa,Cafes,0,0,3,3,neutral,0.727,"So after leaving my wife and daughter in the cafe with my things, I headed towards the museum."
Ancient City of Polonnaruwa,Cave,1,0,1,2,positive,0.73,"In our opinion and alongside the marvelous Dambulla caves and the Sigiriya Rock Fortress/Palace, the ruins of Pollonaruwa Archeological Park are one of the most interesting remains of the island's glorious past and one of the main reasons for us coming to Sri Lanka."
Ancient City of Polonnaruwa,Cave temple,0,0,3,3,neutral,0.78,We preferred the cave temple in Dambulla which definitely wowed us
Ancient City of Polonnaruwa,Cleanliness,17,6,0,23,positive,0.885,well maintained ruins
Ancient City of Polonnaruwa,Colonial architecture,0,0,1,1,neutral,0.74,It got covered in jungle was wasn’t rediscovered until Colonial times.
Ancient City of Polonnaruwa,Crowdedness,5,26,1,32,negative,0.827,As a World Heritage site in the heat and crowded with school groups I was a bit underwhelmed.
Ancient City of Polonnaruwa,Elephants,2,0,2,4,positive,0.78,"Also, like all buddhist holy places, keep you shoulders covered and wear longer pants.There are a lot of vendors there where you can buy cold drinks, but a bit exspensive.I think it is a nice trip for families, couples, friends - everyone.You can buy nice suvenirs there like wooden elephants and Buddhas."
Ancient City of Polonnaruwa,Entrance fee,8,13,21,42,neutral,0.846,entrance fees are a little steep.
Ancient City of Polonnaruwa,Family friendliness,9,7,23,39,neutral,0.752,"As we did it with two very young children, we used a driver to shuttle between the sites, which I'd recommend."
Ancient City of Polonnaruwa,Food quality,6,3,3,12,positive,0.738,Much better if you carry with you snacks and a bottle of water food inside is very expensive specially if youre a tourist theres always a mark up hahha3.
Ancient City of Polonnaruwa,Forest,6,0,6,12,positive,0.78,Polonnaruwa if your interested in history is amazing a city from 600-1300 AD then abandoned to the jungle then uncovered in the early 1900s the site is huge 2-3 miles across.
