poi_name,category
Jaya Sri Maha Bodhi,Religious Site
Jungle Beach,Beach
Kabalana Beach,Beach
Kalametiya Eco Bird Watching,Wildlife / Bird Watching
Kalutara Bodhiya,Religious Site
Kande Viharaya Temple,Religious Site
Kandy Lake,Lake / River
Kandy View Point,Viewpoint / Hiking
Kanniya Hot Springs,Hot Springs
Kataragama Temple,Religious Site
Kaudulla National Park,National Park / Wildlife Reserve
Keerimalai Hot springs,Hot Springs
Kelaniya Raja Maha Vihara,Religious Site
Kiri Vehera,Religious Site
Kirinda Viharaya,Religious Site
Knuckles Mountain Range,Viewpoint / Hiking
Koggala Lake,Lake / River
Kosgoda Sea Turtle Conservation Project,Wildlife Conservation
Kumana National Park,National Park / Wildlife Reserve
Laxapana Falls,Waterfall
Lipton’s Seat,Viewpoint / Hiking
Little Adam's Peak View Point,Viewpoint / Hiking
Lovamahapaya Brazen Palace,Heritage Site
Lover's Leap Falls,Waterfall
Lunugamvehera National Park,National Park / Wildlife Reserve
Madu River Safari by Buddhi,Lake / River
Maduru Oya National Park,National Park / Wildlife Reserve
Maha Saman Dewalaya,Religious Site
Maligawila Buddha Statue,Religious Site
Marble Beach,Beach
Matara Paravi Duwa Temple,Religious Site
Mihintale,Religious Site
Minneriya National Park,National Park / Wildlife Reserve
Mirissa Beach,Beach
Moon Plains,Viewpoint / Hiking
Moonstone or Sandakada pahana,Heritage Site
Mount Lavinia Beach,Beach
Mulgirigala Raja Maha Vihara,Religious Site
Muthurajawela Marsh,Wetland / Nature Park
Nagadipa Purana Vihara,Religious Site
Nalanda Gedige,Heritage Site
Nallur Kandaswamy Kovil Festival,Religious / Cultural Event
Negombo Beach,Beach
Negombo Fish Market,Shopping / Market
Nilavarai Bottomless Well,Natural Landmark
Nilaveli Beach,Beach
Nine Arches Bridge,Engineering Landmark
Old Parliament Building,Landmark / Public Building
Pasikudah Beach,Beach
Pedro Tea Factory,Farm / Factory
Pettah Floating Market,Shopping / Market
Pidurangala Rock,Viewpoint / Hiking
Pidurutalagala,Viewpoint / Hiking
Pinnawala Elephant Orphanage,Zoo / Wildlife Attraction
Pitawala Pathana,Viewpoint / Hiking
Polhena Beach,Beach
Polonnaruwa Vatadage,Heritage Site
Popham's Arboretum,Garden / Park
Rankoth Vehera,Religious Site
Ravana Ella Falls,Waterfall
Richmond Castle,Heritage Site
Ridee Viharaya (silver Temple),Religious Site
Ritigala Forest Monastery,Religious Site
Royal Botanical Gardens,Garden / Park
Ruwanweli Maha Seya,Religious Site
Samadhi Statue,Religious Site
Samudra Parakrama,Lake / River
Sea Turtle Conservation Project (Koggala),Wildlife Conservation
Sea Turtle Farm Galle Mahamodara,Wildlife Conservation
Seema Malakaya Temple,Religious Site
Seenigama Muhudu Viharaya,Religious Site
Seruwila Mangala Raja Maha Vihara,Religious Site
Sigiriya Lion Rock,Heritage Site
Single Tree Hill,Viewpoint / Hiking
Sinharaja Forest Reserve,Forest Reserve
Sithulpawwa Rock Temple,Religious Site
Somawathiya Chaitya,Religious Site
Sri Pada / Adam's Peak,Viewpoint / Hiking
St Benedict's Monastery - Adisham,Religious Site
St Clair's Falls,Waterfall
St Lucia's Cathedral,Religious Site
St. Mary's Church,Religious Site
Statue of Parakramabahu I,Heritage Site
Temple of the Sacred Tooth Relic,Religious Site
Trincomalee Beach,Beach
Trincomalee War Cemetery,Memorial / Cemetery
Turtle Conservation Project Turtle Watch,Wildlife Conservation
Twin Baths (Kuttam Pokuna),Heritage Site
Udawalawe National Park,National Park / Wildlife Reserve
Unawatuna Beach,Beach
Uppuveli Beach,Beach
Victoria Park of Nuwara Eliya,Garden / Park
Viharamahadevi Park,Garden / Park
Visit Kanneliya Rain Forest,Forest Reserve
Wasgamuwa National Park,National Park / Wildlife Reserve
Weherahena Buddhist Temple,Religious Site
Weligama Beach,Beach
Wewurukannala Vihara,Religious Site
Whale Watching in Mirissa,Activity / Experience
Wilpattu National Park,National Park / Wildlife Reserve
Wolvendaal Church,Religious Site
Yala National Park,National Park / Wildlife Reserve
Yapahuwa Rock Fortress,Heritage Site
